French,English
histoire,history
chercher,search
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donné,given
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
côté,side
vieux,old
sois,be
matin,morning
enfant,child
point,point
suite,after
pardon,sorry
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
